367801495934492672	16738904	Thu Aug 15 00:14:44 +0000 2013			<a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iOS</a>	false		Virginia	RT @EvaOdland: Breanna Manning's pic. What #girlslikeus put ourselves through and what the world does to us is a tragedy. http://t.co/iI9Pw…	Vivian/Doug/Vividoug	HereticalHomo
368062671213457408	967033308	Thu Aug 15 17:32:33 +0000 2013	368062298096541696	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	It is a clear, concise, easy to understand document!  The foundation for which this country stands! @StevenDLindsey @Meeeech_L @fuelandseed	CAMI 	xoCAMILLAxo
368073307930624000	967033308	Thu Aug 15 18:14:49 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @ArcticFox2016: Deadly Chaos Grips Egypt ~&gt; "The Muslim Brotherhood Is The Gateway Drug To Islamic Terrorism" ~&gt; Erick Stakelbeck http:/…	CAMI 	xoCAMILLAxo
368076768017543168	967033308	Thu Aug 15 18:28:34 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @SimpleSide: "Tried to take a photo of this grasshopper, but it looks like its giant and destroying the town." http://t.co/d52YOqFuat	CAMI 	xoCAMILLAxo
368080677259862016	967033308	Thu Aug 15 18:44:06 +0000 2013	368080474943406080	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	If we stood by the words of the Constitution, we'd be better off!  @StevenDLindsey @Meeeech_L @fuelandseed	CAMI 	xoCAMILLAxo
368081809457684480	967033308	Thu Aug 15 18:48:36 +0000 2013	368081253024546816	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Look at Snowden for instance... His revelations opened our eyes to something sinister IMO.  Do u agree? @BKachmarik @RealJamesWoods	CAMI 	xoCAMILLAxo
368084057688514560	967033308	Thu Aug 15 18:57:32 +0000 2013	368083607572590592	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...then why the hell is he willing to go to Russia, or South America?  To countries who trample on freedom? @BKachmarik @RealJamesWoods	CAMI 	xoCAMILLAxo
368084124965535744	604607829	Thu Aug 15 18:57:48 +0000 2013	368075503460052992	726628538	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs 	@TitanSaturnMoon @AdyWithStyle  Fuck that's beautiful.	Lisa Quinn	lisaquinn345
368086628876959744	604607829	Thu Aug 15 19:07:45 +0000 2013	368085807485419520	358715927	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs 	@lisasevern big hugs hon' xxx :) don't stress to much about it, you've achieved so much recently.	Lisa Quinn	lisaquinn345
368091984939847680	634734888	Thu Aug 15 19:29:02 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Chicago, IL	California's "School Success and Opportunity Act" (#ab1266) will save lives. http://t.co/lQkfABzttb #girlslikeus #trans #lgbt	Parker Marie	MissParkerMarie
368102021938688000	967033308	Thu Aug 15 20:08:55 +0000 2013	368100699097137152	861910064	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I fully support our Constitution!  That doesnt stop gov't from being in our business! @Wolfknight74 @BKachmarik @RealJamesWoods	CAMI 	xoCAMILLAxo
368104664513789952	967033308	Thu Aug 15 20:19:25 +0000 2013	368103648863064065	861910064	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I'm a Conservative LIBERTARIAN for godsakes!  @Wolfknight74 @BKachmarik @RealJamesWoods	CAMI 	xoCAMILLAxo
368110309950504960	967033308	Thu Aug 15 20:41:51 +0000 2013	368107362101366784	442895257	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	LOL! They always stick with their talking points don't they? People that put all their eggs in one "media" basket... @rtpburns @Wolfknight74	CAMI 	xoCAMILLAxo
368116714442993664	967033308	Thu Aug 15 21:07:18 +0000 2013	368116156390850561	861910064	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I would have to agree!  And, so is this country as we once knew it!  @Wolfknight74 @DiveConLFP	CAMI 	xoCAMILLAxo
368118241312243712	343600277	Thu Aug 15 21:13:22 +0000 2013			web	false		Bay Area, CA, USA	Something has to be done about dangerous cis people invading bathrooms. http://t.co/Pu7yikN43Z #girlslikeus	Amy Dentata	AmyDentata
368148486568419328	561174070	Thu Aug 15 23:13:33 +0000 2013			web	false		Tennessee	I'm sorry, while I know the trials #girlslikeus face are maddening, IMHO #fuckcispeople is destructive. Don't lump them all in the same boat	Laura Lynn Farron	LauraLynnFarron
368149635556061184	561174070	Thu Aug 15 23:18:07 +0000 2013			web	false		Tennessee	Really though.  #fuckcispeople?  Because all cispeople are the same, just like all we #transgender, #girlslikeus people are all the same?	Laura Lynn Farron	LauraLynnFarron
368152911521406976	967033308	Thu Aug 15 23:31:08 +0000 2013	368152298716803076	327592612	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	SMH!!!!!!      @StevenDLindsey @Meeeech_L	CAMI 	xoCAMILLAxo
368156157723959297	967033308	Thu Aug 15 23:44:02 +0000 2013	368155922075369473	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Mark my words...  The second the USA becomes a country further Left than Canada or more corrupt than Mexico...  @StevenDLindsey @Meeeech_L	CAMI 	xoCAMILLAxo
368159538546884610	967033308	Thu Aug 15 23:57:28 +0000 2013	368157490522775553	327592612	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	But Left and Right dont work...  How can you have "Leftist Libertarians"? That's an oxymoron!  Yet, the Left... @StevenDLindsey @Meeeech_L	CAMI 	xoCAMILLAxo
368160100705255425	967033308	Thu Aug 15 23:59:42 +0000 2013	368159392023080961	442895257	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	LMAO!  Brilliant!   @rtpburns @Wolfknight74	CAMI 	xoCAMILLAxo
